# time	AI0	AI1
8.713100000000000023e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.713599999999999568e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.714100000000000534e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.714600000000000080e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.715099999999999625e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.715600000000000591e+01 5.571847507331377791e-01 5.571847507331377791e-01
8.716100000000000136e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.716599999999999682e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.717100000000000648e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.717600000000000193e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.718099999999999739e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.718600000000000705e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.719100000000000250e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.719599999999999795e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.720099999999999341e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.720600000000000307e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.721200000000000330e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.721599999999999397e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.722100000000000364e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.722599999999999909e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.723099999999999454e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.723600000000000421e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.724099999999999966e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.724599999999999511e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.725100000000000477e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.725700000000000500e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.726099999999999568e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.726600000000000534e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.727100000000000080e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.727599999999999625e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.728100000000000591e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.728600000000000136e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.729099999999999682e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.729699999999999704e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.730100000000000193e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.730599999999999739e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.731100000000000705e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.731600000000000250e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.732099999999999795e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.732599999999999341e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.733100000000000307e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.733599999999999852e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.734199999999999875e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.734600000000000364e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.735099999999999909e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.735599999999999454e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.736100000000000421e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.736599999999999966e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.737099999999999511e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.737600000000000477e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.738200000000000500e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.738599999999999568e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.739100000000000534e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.739600000000000080e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.740099999999999625e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.740600000000000591e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.741100000000000136e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.741599999999999682e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.742100000000000648e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.742700000000000671e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.743099999999999739e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.743600000000000705e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.744100000000000250e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.744599999999999795e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.745099999999999341e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.745600000000000307e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.746099999999999852e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.746699999999999875e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.747100000000000364e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.747599999999999909e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.748099999999999454e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.748600000000000421e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.749099999999999966e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.749599999999999511e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.750100000000000477e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.750600000000000023e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.751200000000000045e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.751600000000000534e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.752100000000000080e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.752599999999999625e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.753100000000000591e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.753600000000000136e+01 5.718475073313782353e-01 5.522971652003909604e-01
8.754099999999999682e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.754600000000000648e+01 5.571847507331377791e-01 5.571847507331377791e-01
8.755200000000000671e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.755599999999999739e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.756100000000000705e+01 5.571847507331377791e-01 5.571847507331377791e-01
8.756600000000000250e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.757099999999999795e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.757599999999999341e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.758100000000000307e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.758599999999999852e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.759099999999999397e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.759699999999999420e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.760099999999999909e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.760599999999999454e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.761100000000000421e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.761599999999999966e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.762099999999999511e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.762600000000000477e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.763100000000000023e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.763599999999999568e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.764100000000000534e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.764600000000000080e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.765099999999999625e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.765600000000000591e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.766100000000000136e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.766599999999999682e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.767100000000000648e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.767600000000000193e+01 5.522971652003909604e-01 5.522971652003909604e-01
8.768200000000000216e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.768600000000000705e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.769100000000000250e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.769599999999999795e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.770099999999999341e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.770600000000000307e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.771099999999999852e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.771599999999999397e+01 5.620723362658845979e-01 5.425219941348973229e-01
8.772100000000000364e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.772700000000000387e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.773099999999999454e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.773600000000000421e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.774099999999999966e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.774599999999999511e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.775100000000000477e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.775600000000000023e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.776099999999999568e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.776699999999999591e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.777100000000000080e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.777599999999999625e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.778100000000000591e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.778600000000000136e+01 5.718475073313782353e-01 5.522971652003909604e-01
8.779099999999999682e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.779600000000000648e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.780100000000000193e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.780599999999999739e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.781199999999999761e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.781600000000000250e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.782099999999999795e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.782599999999999341e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.783100000000000307e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.783599999999999852e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.784099999999999397e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.784600000000000364e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.785200000000000387e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.785599999999999454e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.786100000000000421e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.786599999999999966e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.787099999999999511e+01 5.718475073313782353e-01 5.522971652003909604e-01
8.787600000000000477e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.788100000000000023e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.788599999999999568e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.789100000000000534e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.789700000000000557e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.790099999999999625e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.790600000000000591e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.791100000000000136e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.791599999999999682e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.792100000000000648e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.792600000000000193e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.793099999999999739e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.793699999999999761e+01 5.571847507331377791e-01 5.474095796676441417e-01
8.794100000000000250e+01 5.718475073313782353e-01 5.425219941348973229e-01
8.794599999999999795e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.795099999999999341e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.795600000000000307e+01 5.718475073313782353e-01 5.522971652003909604e-01
8.796099999999999852e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.796599999999999397e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.797100000000000364e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.797599999999999909e+01 5.620723362658845979e-01 5.522971652003909604e-01
